id,name,price,original_price,discount_rate,rating_average,review_count,quantity_sold,brand,category,url_key
276649245,"Gạo hữu cơ ST25 Deli Rice thượng hạng, dẻo thơm, ngon nhất thế giới - túi 5kg - TOMAX",275000,275000,0,0.0,0,3,Deli Rice,Bách Hóa Online,gao-huu-co-st25-deli-rice-thuong-hang-deo-thom-ngon-nhat-the-gioi-tui-5kg-tomax-p276649245
276248201,"Ốp lưng X-level da dành cho iPhone viền đen dẻo, lưng da cao cấp , chống bụi bẩn, chống vân tay - hàng chính hãng",105000,105000,0,0.0,0,0, RUGGER ARMOR,Root,op-lung-x-level-da-danh-cho-iphone-vien-den-deo-lung-da-cao-cap-chong-bui-ban-chong-van-tay-hang-chinh-hang-p276248201
276449344,"ÁO BA LỖ NỮ THOÁNG KHÍ SIÊU NHẸ TẬP THỂ THAO, CHẠY BỘ, YOGA, GYM, ĐI CHƠI",165000,165000,0,0.0,0,1,OEM,Thời trang nữ,ao-ba-lo-nu-thoang-khi-sieu-nhe-tap-the-thao-chay-bo-yoga-gym-di-choi-p276449344
273805270,Bàn học gấp gọn mặt gỗ chân nhựa - giao màu ngẫu nhiên,135000,155000,13,4.8,10,146,PEAFLO,Nhà Cửa - Đời Sống,ban-hoc-gap-gon-co-khe-cam-dien-thoai-may-tinh-bang-chan-sat-giao-mau-ngau-nhien-p273805270
278016820,ÁO LÓT BẦU COTTON SIÊU ĐẸP SIZE 38-42 DÀNH CHO NỮ,70000,70000,0,0.0,0,0,OEM,Thời trang nữ,ao-lot-bau-cotton-sieu-dep-size-38-42-danh-cho-nu-p278016820
278121441,Pin tiểu AAA / Pin tiểu 3A Pin Maxell R03- Hộp 40 viên - Hàng chính hãng,6000,6000,0,5.0,1,2,Maxell,Nhà Cửa - Đời Sống,pin-tieu-aaa-pin-tieu-2a-pin-maxell-r03-hop-40-vien-hang-chinh-hang-p278121441
276368496,"Bút cảm ứng hỗ trợ tì tay, siêu mượt cho iPad đời 2018 trở lên hiệu Nillkin iSketch S3 cho iPad Air Pro 11 12.9 13 Air 4 5 6 2018 10.2 - Hàng nhập khẩu",689999,689999,0,0.0,0,1,Gucase,Thiết Bị Số - Phụ Kiện Số,but-cam-ung-ho-tro-ti-tay-sieu-muot-cho-ipad-doi-2018-tro-len-hieu-nillkin-isketch-s3-cho-ipad-air-pro-11-12-9-13-air-4-5-6-2018-10-2-hang-nhap-khau-p276368496
279122142,Nước Tẩy Lồng Máy Giặt 550g,115000,115000,0,0.0,0,5,OEM,Phụ kiện giặt ủi khác,nuoc-tay-long-may-giat-550g-p279122142
276902170,"Ấm Siêu Tốc 2 Lớp 2,5L NK Media MD-ST255  - Màu Ngẫu Nhiên - Hàng Chính Hãng",179000,179000,0,5.0,1,9,NK Media,Điện Gia Dụng,am-sieu-toc-2-lop-2-5l-nk-media-md-st255-mau-ngau-nhien-hang-chinh-hang-p276902170
276107297,Đồ Chơi Xe Hơi Biến Hình MECARD BALL Twin Cannon Dracos - Hellotoy,974000,974000,0,0.0,0,0,CHOIROCK,"Lắp ghép, Xếp hình",do-choi-xe-hoi-bien-hinh-mecard-ball-twin-cannon-dracos-hellotoy-p276107297
52424060,Áo thun nam nữ 80% Cotton DarkGreen01,169000,169000,0,0.0,0,0,Laliz,Thời trang nữ,ao-thun-nam-nu-80-cotton-darkgreen01-p52424060
11598063,Ấm Đun Nước Siêu Tốc Tiross TS1367 (1L) - Hàng chính hãng,529000,529000,0,0.0,0,1,Tiross,Điện Gia Dụng,am-dun-nuoc-sieu-toc-tiross-ts1367-1l-hang-chinh-hang-p11598063
276938758,[Cho cả trẻ sinh mổ] Sữa bột Enfagrow A+ NeuroPro 2 C-Sec 800g cho trẻ từ 1-3 tuổi,710000,710000,0,5.0,1,23,Enfa,Root,sua-bot-enfagrow-a-neuropro-2-c-sec-800g-cho-tre-tu-1-3-tuoi-p276938758
275702538,Sách Chat GPT Thực Chiến,112300,169000,34,4.7,196,3467,No Brand,Sách kỹ năng làm việc,sach-chat-gpt-thuc-chien-p275702538
278424942,Thùng 12 hộp Sữa đậu nành Vinamilk hạt Óc chó 1L,411000,490000,16,0.0,0,7,Vinamilk,Bách Hóa Online,thung-12-hop-sua-dau-nanh-vinamilk-hat-oc-cho-1l-p278424942
278686616,Nồi Hấp Điện 3 Tầng MIDEA MZ-ZG26EASY401 Dung Tích 10 Lít hàng chính hãng,1890000,1890000,0,0.0,0,0,Midea,Điện Gia Dụng,noi-hap-dien-3-tang-midea-mz-zg26easy401-dung-tich-10-lit-hang-chinh-hang-p278686616
275918563,Cà Phê Nguyên Chất Specially Đất Cà Phê 250g - 8:2 Robusta & Moka | Pure Robusta & Moka Coffee Blend,15900,29000,45,5.0,1,24,Đất Cà Phê,Bách Hóa Online,ca-phe-nguyen-chat-specially-ket-hop-robusta-va-moka-thuong-hieu-dat-ca-phe-tui-250g-p275918563
273921445,Sách Chinh phục đề thi VSTEP bậc năng lực từ B1 đến C1,136000,185000,26,5.0,23,254,No Brand,Sách tiếng Việt,sach-chinh-phuc-de-thi-vstep-bac-nang-luc-tu-b1-den-c1-p273921445
277186103,Nút Chống Va Đập Cửa Dán Bảo Vệ Tường Hamart Keo 3M Siêu Dính Silicon Chống Ồn Hiệu Quả,12500,20000,38,4.3,3,16,GUANG MING,Nhà Cửa - Đời Sống,nut-chong-va-dap-cua-dan-bao-ve-tuong-hamart-keo-3m-sieu-dinh-silicon-chong-on-hieu-qua-p277186103
276328193,Bọt tắm gội thảo mộc cho bé Arau Baby - Túi 400ml,117790,129000,9,4.0,1,36,Arau Baby,Root,bot-tam-goi-thao-moc-cho-be-arau-baby-tui-400ml-p276328193
263953646,Dây Đồng Hồ Dành Cho Apple Watch KAi.N Sport Magnetic- Hàng Chính Hãng,169999,169999,0,4.0,1,8,Kai Nguyễn,Thiết Bị Số - Phụ Kiện Số,day-dong-ho-danh-cho-apple-watch-kai-n-sport-magnetic-hang-chinh-hang-p263953646
263295543,"Chiếu Hạt Gỗ Pơ Mu kích thước 2,2mx2m - Chiếu gỗ Mian ( video , hình thật )",8000000,16000000,50,2.0,1,1,OEM,Nhà Cửa - Đời Sống,chieu-hat-go-po-mu-kich-thuoc-2-2mx2m-chieu-go-mian-video-hinh-that-p263295543
